Item ID,Item Description,lead time,travel time,cover time,growth,cant travel period,cant produce period
COM01707,Fiore Di Sale 200g / 24,1 m,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01708,Salt - 25kg (Fino),1 m,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01709,Salt - 25kg (Coarse),1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
COM01851,Salted Anchovies 420g / 8,3 w ,1 m,4 m ,1.2,June 1-September 15,august
COM01861,Colatura 100ml / 15,1 m,1 m,4 m ,1.2,June 1-September 15,august
CON00349,Miracolo San Gennaro 530gr/12,1 m,1 m,4 m,1.2,always travel ,august
CON00350,San Gennaro Tomatoes 960 gr/6,1 m,1 m ,4 m,1.2,always travel ,august
CON00353,Pomdorini San Gennaro 530gr/12,1 m,1 m ,4 m,1.2,always travel ,august
CON00360,terra amore 800gr/12,1 m,1 m ,4 m,1.2,always travel ,august
CON00361,terra amore 400gr/24,1 m,1 m ,4 m,1.2,always travel ,august
CON00450,Dani DOP SAN MARZANO 400gr/12,2 w,1 m ,4 m,1.2,always travel ,august
CON00460,Dani DOP SAN MARZANO 800gr/12,2 w,1 m ,4 m,1.2,always travel ,august
CON00470,Dani DOP SAN MARZANO 2.5Kg/6,2 w,1 m ,4 m,1.2,always travel ,august
CON00472,Dani ITALIAN 100% TOM 2.5kg/6,2 w,1 m ,4 m,1.2,always travel ,august
CON00473,Dani ITALIAN 100% TOM 400g/24,2 w,1 m ,4 m,1.2,always travel ,august
CON01900,Carciofini Piccoli 2900g/4,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01901,Small ArtichokeMaida190g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01902,Antipasto Maida 190g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01904,Olive Cilentane Maida190g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01905,Jam Fichi Bianchi Maida220g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01907,Jam Pere Noci Maida220g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01910,Peperoncini Maida 190g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01911,Yellow Tomato Maida680g/12,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01913,Pomodorini Maida 680gr / 12,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01914,Sun Dried Tom Maida190g/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01916,Broccoli Maida 190gr/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01917,Grilld ArtichokesMaida190gr/24,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01920,Broccoli Maida 2900g/4,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01921,Sun DriedTom BIG 2900g/4,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON01924,Olive CilentaneMaida2900g/4,3 w,1 m ,1 year,1.2,June 1-August 31 ,august
CON02001,Salted Capers Jar 90g / 24,1 m ,1 m,6 m ,1.2,June 1-August 31 ,august
CON02401,Salted Capers in Bag 500g/10,1 m ,1 m,6 m ,1.2,June 1-August 31 ,august
CON02405,SaltedCaperberriesBag 500g/10,1 m ,1 m,6 m ,1.2,June 1-August 31 ,august
CON02501,Orange Marmalade by Sicilia/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON02601,Mandarin Marmalade bySicilia/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON02701,Citron Marmalade by Sicilia/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON02801,Bergamot Marmalade bySicilia/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON03101,Almonds Nougat Sicilia 200g/10,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON03501,Pistachio NougatSicilia200g/10,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON03502,Pistachio 250gr,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON03503,Almonds Peeled 250gr /20,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON03505,Almonds Unpeeled 250gr/20,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON03506,Almonds Unpeeled 1kg/10,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON03507,Almonds Peeled BIG 1Kg/10,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON03901,Pink Grapefruit by Sicilia/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON04101,Apricot Extra Jam bySicil/6,1 m ,1 m ,1 year,1.2,June 1-August 31 ,august
CON08396,Yellow Piennolo 1kg/6,1 m ,1 m ,4 m,1.2,always travel ,august
CON08397,Yellow Piennolo 520g/6,1 m ,1 m ,4 m,1.2,always travel ,august
CON08398,Piennolo Vine Tomatoes 1kg/6,1 m ,1 m ,4 m,1.2,always travel ,august
CON08399,Piennolo Vine Tomatoes 520g/6,1 m ,1 m ,4 m,1.2,always travel ,august
CON09001,Stratto Pianogrillo 350g /12,1 m ,1 m ,6 m,1.2,always,august
CON09002,Salsa Pianogrillo 330g/12,1 m ,1 m ,6 m,1.2,always ,august
CON09070,Dry Porcini- bag  50g,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON09073,Dry Porcini - bag 500g,1 m ,1 m ,4 m ,1.2,June 1-August 31 ,august
CON09100,Green Olives Frat 580ml/12,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
CON09101,Green Olives Frat 1700ml/4,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
CON09102,Green Olives Frate 4700ml/2,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
CON09110,Black Olives Frate 580ml/12,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
CON09111,Black Olives Frate 4700ml/2,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
DOL00032,C-Amaro Choc/HazSpread 280g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
DOL00033,C-Amaro PistachioSpread280g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
DOL00034,C-Amaro AlmondSpread 280g / 12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
MIE01301,Millefiori Honey Liccu 200g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
MIE01401,Asphodel Honey Liccu 200g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
MIE01501,Eucalyptus Honey Liccu 200g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
MIE01601,Corbezzolo Honey Liccu 200g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
MIE01602,Cardo Honey Liccu 200g/12,1 m,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00131,Pianogrillo .5l / 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00132,Pianogrillo - .25 lt tin / 24,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00134,Piano 5lt Tins for Gustiamo/4,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00135,Piano BYB .75 wine bottle,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00212,Il Tratturello .75l / 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00216,Il Tratturello 5ltTins for G/4,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI00217,Il Tratturello BYB .75 winebot,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01101,Antichi Uliveti - .5lt / 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01102,Antichi Uliveti - .25lt / 20,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01550,Cru di Cures 500ml/ 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01553,Cru di Cures 5lt tin $16.3/lt,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01926,Vicopisano  .5l / 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01932,Vicopisano 100ml / 12,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01935,RioGrifone 5lt tin- BIG,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI01936,Rio Small Bottle .5lt/6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI08101,Benza .5l / 6,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI08102,Benza - 5lt tin,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
OLI08105,Benza BYB .75l wine bottle,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
PAS00083,Semola Rimacinata Flour 25kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00084,Semola Rimacinata Flour 5kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00085,Semola Rimacinata Flour 1kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00086,Castelvetrano Flour 25kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00087,Castelvetrano Flour 5kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00088,Castelvetrano Flour 1kg,2 w,1 m ,4 m ,1.2,June 1-August 31 ,july august
PAS00089,Busiate 500gr/24,1 1/2 m ,1 m ,6 m ,1.2,June 1-August 31 ,july august
PAS00090,Busiate 250gr/30,1 1/2 m ,1 m ,6 m ,1.2,June 1-August 31 ,july august
PAS00701,Carnaroli Rice Gazzani 1kg/12,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
PAS00801,Vialone NanoRiceGazzani 1kg/12,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
PAS00902,Integrale Gazzani 1kg/12,3 w,1 m ,4 m ,1.2,June 1-August 31 ,august
PAS07401,Spaghetti by Martelli 500g/20,1 1/2 m ,1 m ,6 m,1.2,June 1-August 31 ,september
PAS07421,Spaghettini  by Martelli/20,1 1/2 m ,1 m ,6 m,1.2,June 1-August 31 ,september
PAS07441,Maccheroni by Martelli/20,1 1/2 m ,1 m ,6 m,1.2,June 1-August 31 ,september
PAS07442,Fusilli by Martelli 500g/20,1 1/2 m ,1 m ,6 m,1.2,June 1-August 31 ,september
PAS07461,Penne by Martelli 500g/20,1 1/2 m ,1 m ,6 m,1.2,June 1-August 31 ,september
PAS10003,Crespi Rice VENERE NERO500g/44,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
PAS10004,Crespi RiceROSSOIntegr500gr/44,3 w,1 m ,6 m ,1.2,June 1-August 31 ,august
PAS11997,Faella Spaghettoni 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS11998,Faella Linguine 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS11999,Faella Penne 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12000,Faella Spaghetti 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12001,Faella Bucatini 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12002,Faella Caserecci 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12003,Faella Ziti Tagliati 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12004,Faella Sedani 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12006,Faella Mezzanelli 1kg/10,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12008,Faella Spaghettini 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12020,Faella Mezzi Paccheri 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12021,Faella Calamari 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12032,FaellaTofe 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12033,Faella Genovesine 500g/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12034,Faella CANDELE LUN 1Kg/10,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12035,Faella Gemelli 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
PAS12036,Faella Anelli Rigati 500gr/20,1 m,1 m,4 m,1.2,June 1-August 31 ,August 1 – September 15
